test	n	min	median	mean
ANTS_ROT_EXP	5	5.62	7.88	7.62
ANTS_ROT_EXP_INVERSEWARP	5	0.63	0.64	0.64
ANTS_ROT_EXP_INVERSEWARP2	5	0.35	0.37	0.37
ANTS_ROT_EXP_WARP	5	0.54	0.55	0.56
ANTS_ROT_EXP_WARP2	5	0.37	0.38	0.38
ANTS_ROT_GSYN	5	11.32	12.62	13.51
ANTS_ROT_GSYN_INVERSEWARP	5	0.65	0.66	0.66
ANTS_ROT_GSYN_WARP	5	0.55	0.56	0.56
TOTAL	-	20.03	23.66	-
