test	n	min	median	mean
ANTS_ROT_EXP	5	5.93	8.72	7.82
ANTS_ROT_EXP_INVERSEWARP	5	0.65	0.65	0.66
ANTS_ROT_EXP_INVERSEWARP2	5	0.38	0.40	0.40
ANTS_ROT_EXP_WARP	5	0.50	0.50	0.51
ANTS_ROT_EXP_WARP2	5	0.37	0.38	0.38
ANTS_ROT_GSYN	5	12.09	13.52	13.91
ANTS_ROT_GSYN_INVERSEWARP	5	0.66	0.67	0.67
ANTS_ROT_GSYN_WARP	5	0.57	0.58	0.59
TOTAL	-	21.15	25.42	-
